ot	addrs_numb	company
18	257748	Sagemcom Broadband SAS
19	171869	"HUAWEI TECHNOLOGIES CO.,LTD"
20	148756	zte corporation
21	131197	Arcadyan Corporation
22	57671	Mitsubishi Electric Corporation
23	56214	ASKEY COMPUTER CORP
24	34634	"Oki Electric Industry Co., Ltd."
25	23675	AVM Audiovisuelles Marketing und Computersysteme GmbH
26	23066	SolarEdge Technologies
27	20160	Altice Labs
28	17701	Intelbras
29	14770	"Space Monkey, Inc."
30	11370	"Ubee Interactive Co., Limited"
31	11322	Taicang T&W Electronics
32	9794	NETLINK ICT
33	9518	Hitron Technologies. Inc
34	9364	Amazon Technologies Inc.
35	9332	"Fiberhome Telecommunication Technologies Co.,LTD"
36	9019	PT Inova??o e Sistemas SA
37	8929	"Shenzhen SDMC Technology CO.,Ltd."
38	8499	Technicolor Delivery Technologies Belgium NV
39	7897	IEEE Registration Authority
40	7429	"Nokia Shanghai Bell Co., Ltd."
41	7400	Synology Incorporated
42	5709	TP-Link Systems Inc
43	5705	PPC Broadband Inc.
44	5267	Sercomm Corporation.
45	5174	"Tenda Technology Co., Ltd."
46	5163	"TP-LINK TECHNOLOGIES CO.,LTD."
47	5034	"NEC Platforms, Ltd."
48	4559	Dell Inc.
49	4056	"Cisco Systems, Inc"
50	4025	currentoptronics Pvt.Ltd
51	3781	BUFFALO.INC
52	3387	"Hitachi,Ltd."
53	3301	PT Inovacao
54	3268	Arcadyan Technology Corporation
55	3044	"Shenzhen XGTEC Technology Co,.Ltd."
56	2867	Globalsat International Technology Ltd
57	2810	"Xensource, Inc."
58	2765	D-Link International
59	2764	"VMware, Inc."
60	2624	"OKI ELECTRIC INDUSTRY CO., LTD"
61	2541	MitraStar Technology Corp.
62	2492	Ubiquiti Inc
63	2450	"Compal Broadband Networks, Inc."
64	2356	"Stephen Technologies Co.,Limited"
65	2183	Zyxel Communications Corporation
66	2051	"T3 Technology Co., Ltd."
67	2038	"Shenzhen C-Data Technology Co., Ltd."
68	1938	FN-LINK TECHNOLOGY LIMITED
69	1694	"Super Micro Computer, Inc."
70	1648	HDV Phoelectron Technology Limited
71	1593	"Huawei Device Co., Ltd."
72	1354	NETGEAR
73	1332	"Shenzhen Skyworth Digital  Technology  CO., Ltd"
74	1324	Heights Telecom T ltd
75	1320	Hewlett Packard
76	1235	Routerboard.com
77	1222	Qumranet Inc.
78	1213	Calix Inc.
79	1200	Cianet Industria e Comercio S/A
80	1181	FREEBOX SAS
81	1147	"Rackspace US, Inc."
82	1127	"Guangzhou V-SOLUTION Electronic Technology Co., Ltd."
83	1121	"Tenda Technology Co.,Ltd.Dongguan branch"
84	1094	eero inc.
85	1073	AzureWave Technology Inc.
86	1044	"Shenzhen Cudy Technology Co., Ltd."
87	1031	"Samsung Electronics Co.,Ltd"
88	991	"Apple, Inc."
89	940	"Shenzhen FH-NET OPTOELECTRONICS CO.,LTD"
90	918	DWnet Technologies(Suzhou) Corporation
91	917	ASUSTek COMPUTER INC.
92	898	"GUANGZHOU CHIP TECHNOLOGIES CO.,LTD"
93	888	AVM GmbH
94	863	"SUMEC Machinery & Electric Co.,Ltd."
95	861	Vantiva Connected Home - Technologies Telco
96	858	"FUJIAN STAR-NET COMMUNICATION CO.,LTD"
97	842	Parks S/A Comunicacoes Digitais
98	824	Bowei Technology Company Limited
99	792	Inteno Broadband Technology AB
100	736	Intel Corporate
101	701	Smart Innovation LLC
102	690	"MERCUSYS TECHNOLOGIES CO., LTD."
103	680	"ADI Engineering, Inc."
104	678	"Kaon Group Co., Ltd."
105	676	"QNAP Systems, Inc."
106	603	"Sichuan Jiuzhou Electronic Technology Co., Ltd."
107	568	"SHENZHEN GONGJIN ELECTRONICS CO.,LT"
108	561	Proxmox Server Solutions GmbH
109	561	"VSOLUTION TELECOMMUNICATION TECHNOLOGY CO.,LTD."
110	541	Broadcom Limited
111	491	Icotera A/S
112	488	"ELECOM CO.,LTD."
113	446	YAMAHA CORPORATION
114	438	SaiNXT Technologies LLP
115	435	"Zhone Technologies, Inc."
116	435	Rebox B.V.
117	426	Microsoft Corporation
118	422	NetComm Wireless
119	417	"SHENZHEN MERCURY COMMUNICATION TECHNOLOGIES CO.,LTD."
120	402	SkyBell Technologies Inc.
121	375	SERNET (SUZHOU) TECHNOLOGIES CORPORATION
122	372	China Mobile IOT Company Limited
123	363	REALTEK SEMICONDUCTOR CORP.
124	361	Quanta Computer Inc.
125	347	"THE FURUKAWA ELECTRIC CO., LTD"
126	329	"Cambridge Industries(Group) Co.,Ltd."
127	324	Keenetic Limited
128	316	"SAXA, Inc."
129	312	"Skyworth Digital Technology(Shenzhen) Co.,Ltd"
130	311	CENTURY SYSTEMS CORP.
131	310	"GIGA-BYTE TECHNOLOGY CO.,LTD."
132	309	"Beijing Xiaomi Mobile Software Co., Ltd"
133	308	LG Innotek
134	304	"SHENZHEN IP-COM Network Co.,Ltd"
135	300	Plume Design Inc
136	286	GREATEK
137	284	GX India Pvt Ltd
138	278	GX International BV
139	274	GoodMan Corporation
140	274	Fulan Electronics Limited
141	262	"Sumitomo Electric Industries, Ltd"
142	260	optilink networks pvt ltd
143	250	"Google, Inc."
144	246	CIG SHANGHAI CO LTD
145	235	"Shenzhen YOUHUA Technology Co., Ltd"
146	232	"SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD"
147	228	Hewlett Packard Enterprise
148	228	"Mellanox Technologies, Inc."
149	223	"UNION MAN TECHNOLOGY CO.,LTD"
150	219	Syrotech Networks. Ltd.
151	218	ASRock Incorporation
152	211	"China Mobile Group Device Co.,Ltd."
153	207	"Guangzhou V-Solution Telecommunication Technology Co.,Ltd."
154	204	HP Inc.
155	195	TERACOM TELEMATICA S.A
156	187	"Actiontec Electronics, Inc"
157	171	"Shenzhen iComm Semiconductor CO.,LTD"
158	167	NetComm Wireless Limited
159	163	LG Electronics
160	163	"CZ.NIC, z.s.p.o."
161	152	Raspberry Pi Trading Ltd
162	141	ICP Electronics Inc.
163	139	Belkin International Inc.
164	137	NAKAYO Inc
165	127	Genexis B.V.
166	122	Fujitsu Technology Solutions GmbH
167	121	AltoBeam Inc.
168	120	SHENZHEN BILIAN ELECTRONIC CO.£¬LTD
169	119	XEROX CORPORATION
170	113	Fibrain
171	111	"Visionscape Co,. Ltd."
172	110	PC Engines GmbH
173	103	"Qingdao Intelligent&Precise Electronics Co.,Ltd."
174	103	LG Electronics (Mobile Communications)
175	103	"Sichuan AI-Link Technology Co., Ltd."
176	101	3COM
177	101	"Raisecom Technology CO., LTD"
178	100	"SHENZHEN PHOTON BROADBAND TECHNOLOGY CO.,LTD"
179	95	"Noon Technology Co., Ltd"
180	93	Tilgin AB
181	90	"Micro-Star INTL CO., LTD."
182	88	"Elitegroup Computer Systems Co.,Ltd."
183	87	Digital Generation Inc.
184	87	Cisco Meraki
185	87	INVENTEC CORPORATION
186	86	Vestel Elektronik San ve Tic. A.S.
187	84	China Dragon Technology Limited
188	84	AMERICAN POWER CONVERSION CORP
189	82	Raspberry Pi Foundation
190	82	Sony Corporation
191	78	Nokia Solutions and Networks GmbH & Co. KG
192	76	Wistron Infocomm (Zhongshan) Corporation
193	76	"EliteGroup Computer Systems Co., LTD"
194	75	"Beijing Xiaomi Electronics Co., Ltd."
195	70	"Shenzhen SuperElectron Technology Co.,Ltd."
196	70	"Nexcom International Co., Ltd."
197	70	Earda Technologies co Ltd
198	69	"HUMAX Co., Ltd."
199	68	Digicom Futuristic Technologies Ltd.
200	60	"Hui Zhou Gaoshengda Technology Co.,LTD"
201	58	"NEC Platforms, Ltd"
202	56	Xiaomi Communications Co Ltd
203	55	TELLESCOM INDUSTRIA E COMERCIO EM TELECOMUNICACAO
204	55	"Jetway Information Co., Ltd."
205	54	Shuttle Inc.
206	54	"United Information Technology Co.,Ltd."
207	53	Vantiva USA LLC
208	52	CHINA DRAGON TECHNOLOGY LIMITED
209	52	"HUIZHOU TCL COMMUNICATION ELECTRON CO.,LTD"
210	51	"Raritan Computer, Inc"
211	51	GL Technologies (Hong Kong) Limited
212	51	Alpha Networks Inc.
213	49	"Shanghai Baud Data Communication Co.,Ltd."
214	49	Adtran Inc
215	49	D-Link Corporation
216	47	OneAccess SA
217	47	PCS Systemtechnik GmbH
218	47	SERCOMM PHILIPPINES INC
219	45	MAX8USA DISTRIBUTORS INC.
220	45	"Shenzhen Baitong Putian Technology Co.,Ltd."
221	45	PRONET GMBH
222	45	PEGATRON CORPORATION
223	43	"LEXMARK INTERNATIONAL, INC."
224	43	"Server Technology, Inc."
225	43	Broadcom
226	43	Xcute Mobile Corp.
227	42	GOIP Global Services Pvt. Ltd.
228	42	INGRAM MICRO SERVICES
229	41	Shenzhen Qihu Intelligent Technology Company Limited
230	40	"Micronet union Technology(Chengdu)Co., Ltd."
231	40	"Beijing Jingdong Century Trading Co., LTD."
232	39	Ubiqcom India Pvt Ltd
233	38	Solarflare Communications Inc.
234	37	HUNAN FN-LINK TECHNOLOGY LIMITED
235	36	Commscope
236	35	"Netis Technology Co., Ltd."
237	34	Smartcom - Bulgaria AD
238	33	Luxshare Precision Industry Company Limited
239	33	Sun Cupid Technology (HK) LTD
240	33	"Sichuan Tianyi Comheart Telecom Co.,LTD"
241	32	"Optictimes Co.,Ltd"
242	31	Genexis International B.V.
243	31	Juniper Networks
244	31	"SHENZHEN RF-LINK TECHNOLOGY CO.,LTD."
245	30	eac AUTOMATION-CONSULTING GmbH
246	30	Smartlink Network Systems Limited
247	27	PC Partner Ltd.
248	27	"KongTop industrial(shen zhen)CO.,LTD"
249	27	"AMPAK Technology, Inc."
250	27	"Fortinet, Inc."
251	26	"COMPAL INFORMATION (KUNSHAN) CO., LTD."
252	26	FUJITSU LIMITED
253	26	IBM Corp
254	26	"Chengdu Quanjing Intelligent Technology Co.,Ltd"
255	25	"Motorola Mobility LLC, a Lenovo Company"
256	25	APC by Schneider Electric
257	24	Sophos Ltd
258	24	GIFA
259	24	Deciso B.V.
260	24	"Amazon.com, LLC"
261	23	"Cisco-Linksys, LLC"
262	23	"Zhejiang Uniview Technologies Co.,Ltd."
263	23	Intel Corporation
264	23	"hangzhou huacheng network technology co., ltd"
265	22	"Hon Hai Precision Ind. Co.,Ltd."
266	22	FireBrick Limited
267	22	"Covia, Inc."
268	21	Texas Instruments
269	21	FreeBSD Foundation
270	21	BaudTec Corporation
271	20	G-PRO COMPUTER
272	20	"New H3C Technologies Co., Ltd"
273	20	WIBRAIN
274	20	"LCFC(Hefei) Electronics Technology co., ltd"
275	20	Furukawa Industrial S.A. Produtos El¨¦tricos
276	20	"Prescope Technologies CO.,LTD."
277	19	Genexis BV
278	19	Raspberry Pi (Trading) Ltd
279	19	LINEAR LLC
280	19	"I-O DATA DEVICE,INC."
281	18	Synclayer Inc.
282	18	SWsoft
283	17	Intertech Services AG
284	17	Private
285	17	CHASE RESEARCH LTD.
286	17	SHENZHEN MTC CO LTD
287	17	SHARP Corporation
288	16	"Ruijie Networks Co.,LTD"
289	16	Arista Networks
290	16	Pakedge Device and Software Inc.
291	16	QLogic Corporation
292	16	silicom
293	16	Microlink Corporation
294	15	SHURE INCORPORATED
295	15	Hefei Bitland Information Technology Co.Ltd
296	15	"S-Bluetech co., limited"
297	15	"Micro-Star INT'L CO., LTD."
298	15	Oracle Corporation
299	15	NetApp
300	14	Changwang Technology inc.
301	14	"Shenzhen Trolink Technology CO, LTD"
302	14	"Shenzhen MiaoMing  Intelligent Technology Co.,Ltd"
303	14	Fibergate Inc.
304	14	MediaTek Inc
305	13	"New H3C Intelligence Terminal Co., Ltd."
306	13	Wistron Neweb Corporation
307	13	"Hangzhou Hikvision Digital Technology Co.,Ltd."
308	13	"SmartRG, Inc."
309	13	"Shenzhen CYX Technology Co., Ltd."
310	13	UNIWAY INFOCOM PVT LTD
311	13	"Shenzhen HS Fiber Communication Equipment CO., LTD"
312	13	Guangzhou Shiyuan Electronic Technology Company Limited
313	13	"Shenzhen IP3 Century Intelligent Technology CO.,Ltd"
314	13	Sphairon Technologies GmbH
315	13	Tyan Computer Corp
316	13	LANCOM Systems GmbH
317	12	LiteON
318	12	"Hisense broadband multimedia technology Co.,Ltd"
319	12	"TCL Networks Equipment Co., Ltd."
320	12	"Universal Global Scientific Industrial Co., Ltd."
321	12	COMDA ENTERPRISES CORP.
322	12	"Top Victory Electronics (Taiwan) Co., Ltd."
323	11	Zioncom Electronics (Shenzhen) Ltd.
324	11	"HISENSE VISUAL TECHNOLOGY CO.,LTD"
325	11	"Qingdao Hisense Communications Co.,Ltd."
326	11	StreamUnlimited Engineering GmbH
327	11	DASAN Network Solutions
328	11	iCatch Inc.
329	11	"LANNER ELECTRONICS, INC."
330	10	"Zhuhai Raysharp Technology Co.,Ltd"
331	10	"Wuhan FiberHome Digital Technology Co.,Ltd."
332	10	"Shenzhen Lianrui Electronics Co.,Ltd"
333	10	"Costar  electronics, inc.,"
334	10	ANALOG SYSTEMS
335	10	YICHEN (SHENZHEN) TECHNOLOGY CO.LTD
336	9	ASIX ELECTRONICS CORP.
337	9	China Mobile Chongqing branch
338	9	Bachmann Technology GmbH & Co. KG
339	9	Chelsio Communications
340	9	FibRSol Global Network Limited
341	8	KYOCERA Display Corporation
342	8	"COMTEC SYSTEMS. CO., LTD."
343	8	elmegt GmbH & Co. KG
344	8	"Shenzhen Geniatech Inc, Ltd"
345	8	Reolink Innovation Limited
346	8	ANOV FRANCE
347	8	China Mobile Iot Limited company
348	8	Full Solution Telecom
349	8	"Micro-Star INT'L CO., LTD"
350	8	"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD"
351	8	Sercomm France Sarl
352	8	Sunnovo International Limited
353	8	NVIDIA Corporation
354	8	"Shenzhen Ferex Electrical Co.,Ltd"
355	8	"Shenzhen Amediatech Technology Co., Ltd."
356	8	AltoBeam (China) Inc.
357	8	TPVision Europe B.V
358	8	"Observint Technologies, Inc."
359	8	MITAC INTERNATIONAL CORP.
360	8	"Hangzhou H3C Technologies Co., Limited"
